title,date,creators,source,subjects,source_url,trove_url
Transcript of joint press conference: 12 September 2012: dental care; RBA; increasing government revenue; mining royalties; superannuation; super trawler; offshore detention of asylum seekers [and] Superannuation costings,2012-09-12,"Milne, Christine",AUSTRALIAN GREENS,and,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1912354%22,"http://trove.nla.gov.au/version/211381935
"
Transcript of joint press conference: 12 September 2012: dental care; RBA; increasing government revenue; mining royalties; superannuation; super trawler; offshore detention of asylum seekers [and] Superannuation costings,2012-09-12,"Bandt, Adam",AUSTRALIAN GREENS,and,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1912356%22,"http://trove.nla.gov.au/version/211381936
"
Transcript of joint press conference: 12 September 2012: dental care; RBA; increasing government revenue; mining royalties; superannuation; super trawler; offshore detention of asylum seekers [and] Superannuation costings,2012-09-12,"Di Natale, Richard",AUSTRALIAN GREENS,and,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1912357%22,"http://trove.nla.gov.au/version/211381937
"
Transcript of press conference: Canberra: 22 November 2012 Murray Darling Basin Plan; asylum seekers and temporary protection visas; Tasmanian forest talks; and inflammatory comments from Michael Danby.,2012-11-22,"Milne, Christine",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2062881%22,"http://trove.nla.gov.au/version/211385663
"
Transcript of press conference: Canberra: 22 November 2012 Murray Darling Basin Plan; asylum seekers and temporary protection visas; Tasmanian forest talks; and inflammatory comments from Michael Danby.,2012-11-22,"Hanson-Young, Sarah",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2062882%22,"http://trove.nla.gov.au/version/211385650
"
"Transcript of press conference: Werribee, [Victoria]: 23 November 2012: Bryce Courtenay; Wyndam Healthy Communities launch; asylum seekers; industrial relations; Slater & Gordon; superannuation; healthcare funding; construction costs inquiry",2012-11-23,"Gillard, Julia",PRIME MINISTER,Victoria; Victoria,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2062956%22,"http://trove.nla.gov.au/version/211385856
"
High Court rules not to protect children from Immigration Dept.,2004-04-29,"Bartlett, Andrew; Australian Democrats","Office of BARTLETT, SEN ANDREW",Immigration detention centres; High Court judgments; Children,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/NFCC6%22,"http://trove.nla.gov.au/version/211558771
"
House of Reps may join Senate in condemning Malaysia refugee deal,2011-05-12,"Bandt, Adam",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/770056%22,"http://trove.nla.gov.au/version/211352845
"
Greens move to end Tony Abbott's reign of silence on boat arrivals,2013-11-08,"Hanson-Young, Sarah",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2829483%22,"http://trove.nla.gov.au/version/211400453
"
Transcript of joint press conference: Sydney: 29 March 2014: 100 days since the last successful people smuggling operation; Kirribilli House; MH370; Peter Greste,2014-03-29,"Morrison, Scott",MINISTER FOR IMMIGRATION AND BORDER PROTECTION,100 days since the last successful people smuggling operation; Kirribilli House; MH370; Peter Greste,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3083325%22,"http://trove.nla.gov.au/version/211405926
"
